id,title,region,release_date,platform,image_url
"","Almost Hero","2017-08-03","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/71595-1.jpg"
"","Alpha Mission","1987-10-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1616-1.jpg"
"","Alpha Mission [5 Screw]","NTSC																		(United States of America)","1987-10-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/108549-1.jpg"
"","Alter Ego","2011-08-27","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/28161-1.png"
"","Altercation","NTSC","2021-03-03","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/113381-1.jpg"
"","Alwa's Awakening Soundtrack","2018-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/80874-1.jpg"
"","Alwa's Awakening","Other","2022-05-04","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/100955-1.jpg"
"","Amagon","1988-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1617-1.jpg"
"","Amazon's Training Road","NTSC","2022-04-24","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/121141-1.jpg"
"","Ambushed","Other","2014-05-22","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/40492-1.jpg"
"","America Daitouryou Senkyo: United State Presidential Race","NTSC-J","1988-10-28","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/26388-1.jpg"
"","America Oudan Ultra Quiz: Shijou Saidai no Tatakai","1991-11-29","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/26389-1.jpg"
"","American Dream","1989-09-23","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/24827-1.jpg"
"","American Gladiators","1991-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/6375-1.jpg"
"","Americannon Civil War Sokoban","NTSC","1861-04-12","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/128740-1.jpg"
"","Anamanaguchi: Power Supply 10th Anniversary Cart","NTSC-U																		(United States of America)","2020-07-10","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/113382-1.jpg"
"","Angry Birds","Other","2021-05-03","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/80875-1.jpg"
"","Angry Video Game Nerd VS. Dr. Wily","NTSC","2011-10-05","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/123154-1.jpg"
